route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
OCE1109945,308,OCESN002025F050057030,"2025",1,,
OCE1109945,324,OCESN002013F090097008,"2013",1,,
OCE1109945,288,OCESN002017F140147018,"2017",1,,
OCE1109945,308,OCESN002017F130137019,"2017",1,,
OCE1109945,329,OCESN002021F100107023,"2021",1,,
OCE1109945,332,OCESN002021F130137024,"2021",1,,
OCE1109945,331,OCESN002005F030036994,"2005",1,,
OCE1109945,351,OCESN002011F140147004,"2011",1,,
OCE1109945,326,OCESN002008F180186999,"2008",0,,
OCE1109945,326,OCESN002014F150157012,"2014",0,,
OCE1109945,339,OCESN002026F300307034,"2026",0,,
OCE1109945,308,OCESN002026F290297033,"2026",0,,
OCE1109945,324,OCESN002008F160167000,"2008",0,,
OCE1109945,340,OCESN002026F240247031,"2026",0,,
OCE1109945,328,OCESN002036F150157053,"2036",0,,
OCE1109945,324,OCESN002014F130137011,"2014",0,,
OCE1109945,340,OCESN002034F180187047,"2034",0,,
OCE1109945,308,OCESN002030F210217043,"2030",0,,
OCE1109945,328,OCESN002030F200207042,"2030",0,,
OCE1109945,328,OCESN002014F200207014,"2014",0,,
OCE1109945,339,OCESN002034F170177046,"2034",0,,
OCE1109945,308,OCESN002022F110117026,"2022",0,,
OCESN-87116137-87116160,167,OCESN002105R010017076,"2105",1,,
OCESN-87116137-87116160,179,OCESN002103R010017075,"2103",1,,
OCESN-87116137-87116160,167,OCESN002101R010017074,"2101",1,,
OCESN-87116137-87116160,167,OCESN002100R010037073,"2100",0,,
OCE1109947,367,OCESN002327F120127158,"2327",1,,
OCE1109947,280,OCESN002321F090097141,"2321",1,,
OCE1109947,294,OCESN002327F130137157,"2327",1,,
OCE1109947,282,OCESN002325F060067152,"2325",1,,
OCE1109947,281,OCESN002325F070077151,"2325",1,,
OCE1109947,364,OCESN002327F100107156,"2327",1,,
OCE1109947,293,OCESN002333F090097170,"2333",1,,
OCE1109947,294,OCESN002333F100107171,"2333",1,,
OCE1109947,109,OCESN002329F140147160,"2329",1,,
OCE1109947,354,OCESN002329F160167161,"2329",1,,
OCE1109947,355,OCESN002329F150157162,"2329",1,,
OCE1109947,403,OCESN002309F100107123,"2309",1,,
OCE1109947,276,OCESN002317F040047134,"2317",1,,
OCE1109947,276,OCESN002301F050057112,"2301",1,,
OCE1109947,315,OCESN002307F130137119,"2307",1,,
OCE1109947,314,OCESN002307F110117118,"2307",1,,
OCE1109947,315,OCESN002323F090097145,"2323",1,,
OCE1109947,281,OCESN002323F070077144,"2323",1,,
OCE1109947,282,OCESN002323F100107143,"2323",1,,
OCE1109947,314,OCESN002323F130137146,"2323",1,,
OCE1109947,291,OCESN002319F090097139,"2319",1,,
OCE1109947,290,OCESN002319F070077138,"2319",1,,
OCE1109947,405,OCESN002309F120127124,"2309",1,,
OCE1109947,407,OCESN002309F110117125,"2309",1,,
OCE1109947,276,OCESN002304F040047114,"2304",0,,
OCE1109947,277,OCESN002318F050057136,"2318",0,,
OCE1109947,280,OCESN002306F130137116,"2306",0,,
OCE1109947,277,OCESN002324F040047149,"2324",0,,
OCE1109947,300,OCESN002326F040047154,"2326",0,,
OCE1109947,279,OCESN002316F070077132,"2316",0,,
OCE1109947,277,OCESN002334F030037173,"2334",0,,
OCE1109947,277,OCESN002330F050057164,"2330",0,,
OCE1109947,276,OCESN002332F150157167,"2332",0,,
OCE1109947,301,OCESN002332F160167166,"2332",0,,
OCE1109947,277,OCESN002310F040047127,"2310",0,,
OCE1109947,276,OCESN002308F030037121,"2308",0,,
OCE1109947,279,OCESN002312F080087129,"2312",0,,
OCESN-87116301-87430819,3,OCESN002423R020017223,"2423",1,,
OCESN-87116301-87430819,185,OCESN002429R020017229,"2429",1,,
OCESN-87116301-87430819,299,OCESN002421R020017221,"2421",1,,
OCESN-87116301-87430819,167,OCESN002401R030017194,"2401",1,,
OCESN-87116301-87430819,185,OCESN002425R020017225,"2425",1,,
OCESN-87116301-87430819,167,OCESN002427R020017227,"2427",1,,
OCESN-87116301-87430819,146,OCESN002403R020017196,"2403",1,,
OCESN-87116301-87430819,167,OCESN002409R020017213,"2409",1,,
OCESN-87116301-87430819,167,OCESN002417R020017218,"2417",1,,
OCESN-87116301-87430819,167,OCESN002407R020017202,"2407",1,,
OCESN-87116301-87430819,167,OCESN002415R020017217,"2415",1,,
OCESN-87116301-87430819,167,OCESN002413R020017216,"2413",1,,
OCESN-87116301-87430819,185,OCESN002433R020017237,"2433",1,,
OCESN-87116301-87430819,185,OCESN002411R020017215,"2411",1,,
OCESN-87116301-87430819,167,OCESN002410R020017214,"2410",0,,
OCESN-87116301-87430819,167,OCESN002430R020017233,"2430",0,,
OCESN-87116301-87430819,167,OCESN002434R020017238,"2434",0,,
OCESN-87116301-87430819,3,OCESN002428R020017228,"2428",0,,
OCESN-87116301-87430819,185,OCESN002426R020017226,"2426",0,,
OCESN-87116301-87430819,167,OCESN002408R020017203,"2408",0,,
OCESN-87116301-87430819,185,OCESN002432R020017236,"2432",0,,
OCESN-87116301-87430819,146,OCESN002404R010017199,"2404",0,,
OCESN-87116301-87430819,167,OCESN002422R020017222,"2422",0,,
OCESN-87116301-87430819,3,OCESN002438R020017240,"2438",0,,
OCESN-87116301-87430819,299,OCESN002424R020017224,"2424",0,,
OCESN-87116301-87430819,167,OCESN002402R020017195,"2402",0,,
OCESN-87116301-87430819,185,OCESN002436R020017239,"2436",0,,
OCESN-87681007-87682005,3,OCESN005003R020018293,"5003",1,,
OCESN-87681007-87682005,3,OCESN005001R010018291,"5001",1,,
OCESN-87681007-87682005,3,OCESN005007R010018296,"5007",1,,
OCESN-87681007-87682005,3,OCESN005005R010018295,"5005",1,,
OCESN-87681007-87682005,3,OCESN005000R010018290,"5000",0,,
OCESN-87681007-87682005,3,OCESN005002R020018292,"5002",0,,
OCESN-87681007-87682005,3,OCESN005004R010018294,"5004",0,,
OCESN-87681007-87681635,3,OCESN005053R010018312,"5053",1,,
OCESN-87681007-87681635,3,OCESN005055R010018314,"5055",1,,
OCESN-87681007-87681635,3,OCESN005051R010018310,"5051",1,,
OCESN-87681007-87681635,3,OCESN005057R010018315,"5057",1,,
OCESN-87681007-87681635,3,OCESN005050R010018309,"5050",0,,
OCESN-87681007-87681635,3,OCESN005052R010018311,"5052",0,,
OCESN-87681007-87681635,3,OCESN005054R010018313,"5054",0,,
OCESN-87681007-87681452,3,OCESN005101R020018335,"5101",1,,
OCESN-87681007-87681452,3,OCESN005105R020018352,"5105",1,,
OCESN-87681007-87681452,3,OCESN005113R010018366,"5113",1,,
OCESN-87681007-87681452,3,OCESN005109R010018362,"5109",1,,
OCESN-87681007-87681452,3,OCESN005117R020018367,"5117",1,,
OCESN-87681007-87681452,3,OCESN005108R010018361,"5108",0,,
OCESN-87681007-87681452,3,OCESN005100R020018334,"5100",0,,
OCESN-87681007-87681452,3,OCESN005104R020018351,"5104",0,,
OCE1109946,288,OCESN012039F0500512134,"12039",1,,
OCE1109946,286,OCESN012037F1001012132,"12037",1,,
OCE1109946,276,OCESN012019F0400412110,"12019",1,,
OCE1109946,298,OCESN012003F1101112093,"12003",1,,
OCE1109946,285,OCESN012007F0700712099,"12007",1,,
OCE1109946,323,OCESN012001F0500512086,"12001",1,,
OCE1109946,325,OCESN012001F0600612087,"12001",1,,
OCE1109946,296,OCESN012003F1001012092,"12003",1,,
OCE1109946,295,OCESN012003F0900912091,"12003",1,,
OCE1109946,286,OCESN012015F0800812105,"12015",1,,
OCE1109946,281,OCESN012031F0800812127,"12031",1,,
OCE1109946,282,OCESN012031F0700712128,"12031",1,,
OCE1109946,288,OCESN012029F0700712125,"12029",1,,
OCE1109946,276,OCESN012027F0500512120,"12027",1,,
OCE1109946,483,OCESN012023F0800812116,"12023",1,,
OCE1109946,281,OCESN012023F0900912115,"12023",1,,
OCE1109946,285,OCESN012010F0800812101,"12010",0,,
OCE1109946,292,OCESN012020F0700712112,"12020",0,,
OCE1109946,276,OCESN012024F0400412118,"12024",0,,
OCE1109946,276,OCESN012018F0500512108,"12018",0,,
OCE1109946,292,OCESN012012F0800812103,"12012",0,,
OCE1109946,276,OCESN012016F0500512106,"12016",0,,
OCE1109946,276,OCESN012032F0500512130,"12032",0,,
OCE1109946,287,OCESN012028F1301312122,"12028",0,,
OCE1109946,276,OCESN012000F0400412084,"12000",0,,
OCE1109946,276,OCESN012002F0700712089,"12002",0,,
OCE1109946,292,OCESN012004F0700712095,"12004",0,,
OCE1109946,276,OCESN012006F0500512097,"12006",0,,
OCE1109948,277,OCESN012315F0400412151,"12315",1,,
OCE1109948,319,OCESN012313F0600612149,"12313",1,,
OCE1109948,318,OCESN012313F0500512148,"12313",1,,
OCE1109948,281,OCESN012303F0400412140,"12303",1,,
OCE1109948,282,OCESN012303F0500512141,"12303",1,,
OCE1109948,278,OCESN012305F0900912143,"12305",1,,
OCE1109948,291,OCESN012311F0600612146,"12311",1,,
OCE1109948,276,OCESN012331F0500512165,"12331",1,,
OCE1109948,276,OCESN012321F0500512157,"12321",1,,
OCE1109948,290,OCESN012311F0700712145,"12311",1,,
OCE1109948,276,OCESN012320F0300312155,"12320",0,,
OCE1109948,289,OCESN012300F0200212136,"12300",0,,
